Series,Episode,Task,Description,Contestant,Score
Series 1,Episode 2: The pie whisperer. (4 August 2015),1,Prize: Most impressive item.,Romesh Ranganathan,1
Series 1,Episode 2: The pie whisperer. (4 August 2015),2,High-five a 55-year-old.,Romesh Ranganathan,1
Series 1,Episode 2: The pie whisperer. (4 August 2015),3,"Identify the contents of these pies. You may touch the pies, but may not breach their pastry.",Romesh Ranganathan,3
Series 1,Episode 2: The pie whisperer. (4 August 2015),4,Do something that will look impressive in reverse. The Taskmaster will see whatever act you perform played backwards. You must therefore do something backwards that will look impressive when the footage is played in reverse.,Romesh Ranganathan,5
Series 1,Episode 2: The pie whisperer. (4 August 2015),5,"Live: Crack the code, unshackle yourself and sprint 1 metre.",Romesh Ranganathan,4
Series 1,Episode 3: The poet and the egg. (11 August 2015),1,Prize: Most meaningful item.,Romesh Ranganathan,5
Series 1,Episode 3: The poet and the egg. (11 August 2015),2,Throw a teabag into a mug from the farthest distance.,Romesh Ranganathan,3
Series 1,Episode 3: The poet and the egg. (11 August 2015),3,"Using this device to track your route, create the best image for the Taskmaster. Pop a balloon to signal you have finished your image.",Romesh Ranganathan,4
Series 1,Episode 3: The poet and the egg. (11 August 2015),4,Buy the best present for the Taskmaster. Here is £20.,Romesh Ranganathan,2
Series 1,Episode 3: The poet and the egg. (11 August 2015),5,"Using only the items currently on this table, get this egg as high as possible. The egg must not break.",Romesh Ranganathan,4
Series 1,Episode 3: The poet and the egg. (11 August 2015),6,Live: Stand up after 100 seconds.,Romesh Ranganathan,4
Series 1,Episode 3: The poet and the egg. (11 August 2015),T,What is Frank Skinner's age in minutes?,Romesh Ranganathan,✘
Series 1,Episode 4: Down an octave. (18 August 2015),1,Prize: Most beautiful item.,Romesh Ranganathan,1
Series 1,Episode 4: Down an octave. (18 August 2015),2,Make this ice block disappear as fast as possible.,Romesh Ranganathan,2
Series 1,Episode 4: Down an octave. (18 August 2015),3,Team: Get to 11 points as fast as possible.,Romesh Ranganathan,2
Series 1,Episode 4: Down an octave. (18 August 2015),4,Fill an egg cup with as many tears as possible.,Romesh Ranganathan,4
Series 1,Episode 4: Down an octave. (18 August 2015),S,Count the beans in this baked bean tin.,Romesh Ranganathan,–
Series 1,Episode 4: Down an octave. (18 August 2015),Count the hoops in this tin of spaghetti hoops,,Romesh Ranganathan,
Series 1,Episode 4: Down an octave. (18 August 2015),Count the grains of rice in this bag of rice.,,Romesh Ranganathan,
Series 1,Episode 4: Down an octave. (18 August 2015),5,Live: Memorise the names of an Australian rules football team.,Romesh Ranganathan,1
Series 1,Episode 5: Little denim shorts. (25 August 2015),1,Prize: Most valuable item.,Romesh Ranganathan,3
Series 1,Episode 5: Little denim shorts. (25 August 2015),2,Get this boulder as far from this place as possible.,Romesh Ranganathan,2
Series 1,Episode 5: Little denim shorts. (25 August 2015),3,Grow the longest nail.,Romesh Ranganathan,4
Series 1,Episode 5: Little denim shorts. (25 August 2015),4,Team: Make this bed to a hotel standard whilst holding hands. Your time ends when you get in the bed. Hold hands now.,Romesh Ranganathan,0
Series 1,Episode 5: Little denim shorts. (25 August 2015),5,Make this Swedish person blush as deeply as possible.,Romesh Ranganathan,4
Series 1,Episode 5: Little denim shorts. (25 August 2015),6,Live: Blow up the biggest balloon whilst blindfolded.,Romesh Ranganathan,3
Series 1,Episode 6: The last supper. (1 September 2015),1,Prize: Most satisfying item.,Romesh Ranganathan,3
Series 1,Episode 6: The last supper. (1 September 2015),2,Get the lowest golf score using eggs. You must complete the 5 holes using chicken eggs. You score will be calculated as follows: Shots x eggs x minutes.,Romesh Ranganathan,1
Series 1,Episode 6: The last supper. (1 September 2015),3,Team: Stage a realistic blooper from a home movie.,Romesh Ranganathan,0
Series 1,Episode 6: The last supper. (1 September 2015),4,Make the best meal for the Taskmaster using ingredients beginning with every letter of the alphabet.,Romesh Ranganathan,4
Series 1,Episode 6: The last supper. (1 September 2015),5,"Live: Wearing boxing gloves, put the blue sweets in the empty bowl. Non-blue sweets will be subtracted from your total.",Romesh Ranganathan,4
Series 1,Episode 1: Melon buffet. (28 July 2015),1,Prize: Most unusual item.,Tim Key,5
Series 1,Episode 1: Melon buffet. (28 July 2015),2,"In the lab, there is a watermelon. Eat as much watermelon as possible.",Tim Key,4
Series 1,Episode 1: Melon buffet. (28 July 2015),3,Paint the best picture of a horse whilst riding a horse.,Tim Key,2
Series 1,Episode 1: Melon buffet. (28 July 2015),4,"Completely empty this bathtub. You must not remove the plug, tip or damage the bath.",Tim Key,1
Series 1,Episode 1: Melon buffet. (28 July 2015),5,Live: Pop up a tent. Get in the tent. Zip up the tent. Pop on a onesie in the tent. And emerge from the tent wearing the onesie.,Tim Key,5
Series 1,Episode 1: Melon buffet. (28 July 2015),T,Find Alex.,Tim Key,–
Series 1,Episode 2: The pie whisperer. (4 August 2015),1,Prize: Most impressive item.,Tim Key,5
Series 1,Episode 2: The pie whisperer. (4 August 2015),2,High-five a 55-year-old.,Tim Key,3
Series 1,Episode 2: The pie whisperer. (4 August 2015),3,"Identify the contents of these pies. You may touch the pies, but may not breach their pastry.",Tim Key,5
Series 1,Episode 2: The pie whisperer. (4 August 2015),4,Do something that will look impressive in reverse. The Taskmaster will see whatever act you perform played backwards. You must therefore do something backwards that will look impressive when the footage is played in reverse.,Tim Key,3
Series 1,Episode 2: The pie whisperer. (4 August 2015),5,"Live: Crack the code, unshackle yourself and sprint 1 metre.",Tim Key,2
Series 1,Episode 3: The poet and the egg. (11 August 2015),1,Prize: Most meaningful item.,Tim Key,3
Series 1,Episode 3: The poet and the egg. (11 August 2015),2,Throw a teabag into a mug from the farthest distance.,Tim Key,5
Series 1,Episode 3: The poet and the egg. (11 August 2015),3,"Using this device to track your route, create the best image for the Taskmaster. Pop a balloon to signal you have finished your image.",Tim Key,3
Series 1,Episode 3: The poet and the egg. (11 August 2015),4,Buy the best present for the Taskmaster. Here is £20.,Tim Key,1
Series 1,Episode 3: The poet and the egg. (11 August 2015),5,"Using only the items currently on this table, get this egg as high as possible. The egg must not break.",Tim Key,0
Series 1,Episode 3: The poet and the egg. (11 August 2015),6,Live: Stand up after 100 seconds.,Tim Key,4
Series 1,Episode 3: The poet and the egg. (11 August 2015),T,What is Frank Skinner's age in minutes?,Tim Key,–
Series 1,Episode 4: Down an octave. (18 August 2015),1,Prize: Most beautiful item.,Tim Key,5
Series 1,Episode 4: Down an octave. (18 August 2015),2,Make this ice block disappear as fast as possible.,Tim Key,1
Series 1,Episode 4: Down an octave. (18 August 2015),3,Team: Get to 11 points as fast as possible.,Tim Key,1
Series 1,Episode 4: Down an octave. (18 August 2015),4,Fill an egg cup with as many tears as possible.,Tim Key,1
Series 1,Episode 4: Down an octave. (18 August 2015),S,Count the beans in this baked bean tin.,Tim Key,–
Series 1,Episode 4: Down an octave. (18 August 2015),Count the hoops in this tin of spaghetti hoops,,Tim Key,
Series 1,Episode 4: Down an octave. (18 August 2015),Count the grains of rice in this bag of rice.,,Tim Key,
Series 1,Episode 4: Down an octave. (18 August 2015),5,Live: Memorise the names of an Australian rules football team.,Tim Key,1
Series 1,Episode 5: Little denim shorts. (25 August 2015),1,Prize: Most valuable item.,Tim Key,2
Series 1,Episode 5: Little denim shorts. (25 August 2015),2,Get this boulder as far from this place as possible.,Tim Key,3
Series 1,Episode 5: Little denim shorts. (25 August 2015),3,Grow the longest nail.,Tim Key,1
Series 1,Episode 5: Little denim shorts. (25 August 2015),4,Team: Make this bed to a hotel standard whilst holding hands. Your time ends when you get in the bed. Hold hands now.,Tim Key,2
Series 1,Episode 5: Little denim shorts. (25 August 2015),5,Make this Swedish person blush as deeply as possible.,Tim Key,2
Series 1,Episode 5: Little denim shorts. (25 August 2015),6,Live: Blow up the biggest balloon whilst blindfolded.,Tim Key,DQ
Series 1,Episode 6: The last supper. (1 September 2015),1,Prize: Most satisfying item.,Tim Key,5
Series 1,Episode 6: The last supper. (1 September 2015),2,Get the lowest golf score using eggs. You must complete the 5 holes using chicken eggs. You score will be calculated as follows: Shots x eggs x minutes.,Tim Key,3
Series 1,Episode 6: The last supper. (1 September 2015),3,Team: Stage a realistic blooper from a home movie.,Tim Key,2
Series 1,Episode 6: The last supper. (1 September 2015),4,Make the best meal for the Taskmaster using ingredients beginning with every letter of the alphabet.,Tim Key,3
Series 1,Episode 6: The last supper. (1 September 2015),5,"Live: Wearing boxing gloves, put the blue sweets in the empty bowl. Non-blue sweets will be subtracted from your total.",Tim Key,5
Series 2,Episode 1: Fear of failure. (21 June 2016),1,Prize: Most important document.,Doc Brown,4
Series 2,Episode 1: Fear of failure. (21 June 2016),2,Place these three exercise balls on the yoga mat on the top of that hill. The task is complete when all three balls sit fully inflated and stationary on the mat.,Doc Brown,1
Series 2,Episode 1: Fear of failure. (21 June 2016),3,Get this potato into the golf hole. You may not touch the red green.,Doc Brown,2
Series 2,Episode 1: Fear of failure. (21 June 2016),4,Find out the following information from this Swedish person. The Swedish person may not speak or write in English.,Doc Brown,2
Series 2,Episode 1: Fear of failure. (21 June 2016),5,Live: Pack for your holiday. All items must either be packed in your hand luggage or worn on your body.,Doc Brown,0
Series 2,Episode 2: Pork is a sausage. (28 June 2016),1,Prize: Trendiest item of clothing.,Doc Brown,5
Series 2,Episode 2: Pork is a sausage. (28 June 2016),2,Eat me (an egg). Fastest wins.,Doc Brown,4
Series 2,Episode 2: Pork is a sausage. (28 June 2016),3,Make the best music video for a nursery rhyme.,Doc Brown,5
Series 2,Episode 2: Pork is a sausage. (28 June 2016),4,"Using this camera, take a picture of an inanimate object that looks like you.",Doc Brown,1
Series 2,Episode 2: Pork is a sausage. (28 June 2016),"Bonus: Make the pizza person say the word ""bubbles"".",1,Doc Brown,1
Series 2,Episode 2: Pork is a sausage. (28 June 2016),6,"Live: Using these big chopsticks, get these potatoes into your basket. You must only hold the big chopsticks on the grips provided. The big chopsticks alone may touch the potatoes in turn. Whoever has the most potatoes.",Doc Brown,0
Series 2,Episode 3: A pistachio eclair. (5 July 2016),1,Prize: Best dinner party guest.,Doc Brown,3
Series 2,Episode 3: A pistachio eclair. (5 July 2016),2,Impress this mayor.,Doc Brown,2
Series 2,Episode 3: A pistachio eclair. (5 July 2016),3,Make the most unexpected silhouette on this screen.,Doc Brown,1
Series 2,Episode 3: A pistachio eclair. (5 July 2016),4,Buy a gift for the Taskmaster.,Doc Brown,3
Series 2,Episode 3: A pistachio eclair. (5 July 2016),5,"Team: Put on this blindfold, then instruct only the person closest to you to open their task.",Doc Brown,0
Series 2,Episode 3: A pistachio eclair. (5 July 2016),"Team: Put the earplugs in your ears and the ear protectors over the earplugs, then continue reading. You must remain within your bandstand. Instruct the next person to open their task.",-,Doc Brown,0
Series 2,Episode 3: A pistachio eclair. (5 July 2016),Team: Do not read this out loud. Get a potato.,-,Doc Brown,-
Series 2,Episode 3: A pistachio eclair. (5 July 2016),6,Live: Throw the rabbits into your hat.,Doc Brown,12
Series 2,Episode 4: Welcome to Rico Face. (12 July 2016),1,Prize: Coolest blue thing.,Doc Brown,3
Series 2,Episode 4: Welcome to Rico Face. (12 July 2016),2,Rescue the cat.,Doc Brown,4
Series 2,Episode 4: Welcome to Rico Face. (12 July 2016),3,Conceal this pineapple on your person. No part of the pineapple may be thrown away.,Doc Brown,2
Series 2,Episode 4: Welcome to Rico Face. (12 July 2016),4,Set a fun task. Your task must take no more than one minute.,Doc Brown,0
Series 2,Episode 4: Welcome to Rico Face. (12 July 2016),Guess who set you each task.,-,Doc Brown,-
Series 2,Episode 4: Welcome to Rico Face. (12 July 2016),5,"Team: Using only the items on the rug, construct the best thing for the Taskmaster.",Doc Brown,4
Series 2,Episode 4: Welcome to Rico Face. (12 July 2016),6,Live: Create the highest tower using only these potato-based items. Your potato tower must be self-standing. Your potato tower must be built on the table. Your potato tower will be measured from the tabletop to the highest potato point.,Doc Brown,5
Series 2,Episode 5: There's strength in arches. (19 July 2016),1,Prize: Best piece of memorabilia.,Doc Brown,2
Series 2,Episode 5: There's strength in arches. (19 July 2016),2,Get all this shopping into the shopping trolley.,Doc Brown,DQ
Series 2,Episode 5: There's strength in arches. (19 July 2016),3,Team: Make the best stop-motion film starring this potato.,Doc Brown,2
Series 2,Episode 5: There's strength in arches. (19 July 2016),4,Make a bridge over the river using only items on this table. Highest self-supporting bridge wins. The bridge alone must support the potato. You must not touch the Taskmaster's house.,Doc Brown,4
Series 2,Episode 5: There's strength in arches. (19 July 2016),5,"Live: Put on a pair of food handling gloves, eat a whole banana correctly, put on a tie, and clap as many times as possible.",Doc Brown,4
Series 2,Episode 1: Fear of failure. (21 June 2016),1,Prize: Most important document.,Joe Wilkinson,5
Series 2,Episode 1: Fear of failure. (21 June 2016),2,Place these three exercise balls on the yoga mat on the top of that hill. The task is complete when all three balls sit fully inflated and stationary on the mat.,Joe Wilkinson,2
Series 2,Episode 1: Fear of failure. (21 June 2016),3,Get this potato into the golf hole. You may not touch the red green.,Joe Wilkinson,DQ
